company,date,principal_component_1,principal_component_2,principal_component_3,principal_component_4,principal_component_5,principal_component_6,principal_component_7,principal_component_8,principal_component_9,principal_component_10,principal_component_11,principal_component_12,principal_component_13,principal_component_14,principal_component_15,principal_component_16,principal_component_17,principal_component_18,principal_component_19,principal_component_20,principal_component_21,principal_component_22,principal_component_23,principal_component_24,principal_component_25,principal_component_26,principal_component_27,principal_component_28,principal_component_29,principal_component_30,principal_component_31,principal_component_32,principal_component_33,principal_component_34,principal_component_35,principal_component_36,principal_component_37,principal_component_38,principal_component_39
AMD,2016-07-21,-4.535162338995755,0.7857784310187568,2.486159787076576,2.432103935979405,0.25508741861747725,3.5198024399112806,1.8715210766704458,-0.7893952031502446,-1.38110374855875,0.46804429930078834,-0.2059834009018136,1.861739250808478,0.6491119536661961,1.3630790187174313,-0.33416784610833367,0.6620719305817337,0.8475603853142684,-0.717084359454958,-0.5820615938056546,0.06555292559142119,0.6091481015562822,0.33380202821261895,-0.08221924242571164,0.35292440994176505,-0.41564271378929607,-1.2018303807926378,-1.8490798792838279,1.2063548240914241,0.04664170130042482,0.019503654098954132,0.19080530101225301,0.02921614283901253,-0.23079711704141825,1.5139003987787878,-0.9717320763077907,-0.40595387373050235,-0.6801620111848442,-1.947433197075974,-0.25517348333596807
AMD,2019-10-29,-0.9684964936834646,4.8337140476135785,-0.645005491094604,2.1133576434690053,1.6478555059485618,-0.8519918236545055,0.23139049100761977,-2.1958362752582814,0.08152196675725394,-0.7331820718311761,-0.3447580851553885,1.182574100667964,2.966964254471286,0.6340381767962163,1.8804840544264856,0.4433261435551965,0.06607281092845128,0.49693404702573307,-0.9604293009157692,1.3317574319955838,1.0562136412838863,0.7730443923902597,1.7303995236394576,0.8585643796001305,-0.5575763245704441,0.1519746086800592,0.3927750777412747,0.02222711631527248,0.13872035346408212,-0.9702148902804388,1.4985968897213213,1.4304334940211059,1.1009681278566856,0.35031966952850324,-0.6810513348680418,0.28510266695978964,-0.21224868749229708,1.5393630330149526,0.5944295893106526
AAPL,2019-04-30,-1.2111362092533997,-1.9331857105436459,5.8279496168154825,0.13503418338909703,0.6191760769085287,0.4268674336296613,-0.7718867308026458,0.06304660073577288,-2.1121462005355713,-0.6078540549090817,0.6930856045420345,-1.4356158696831787,1.1994321593686486,-3.464095207200941,-0.4540052994553844,2.3498283243700664,-1.680181506048877,0.6696007976738125,-1.2195464345961837,3.748933871142024,-2.2267017679060266,-0.07917620258953838,1.051124677952437,2.109012047648227,-0.29923936615474245,-1.7688465127999773,0.4640138286430087,-0.3233611354431059,1.4681545367914695,2.3488381356907886,-0.10265832375059254,-0.6533598023498652,-0.41507677619811595,-0.1356970824615611,-0.5018684422523749,0.2706594817434701,0.6314236607200958,-1.0038416577601652,-1.5419940943227322
AAPL,2016-10-25,-2.1440182558423126,3.2576133578425455,1.9563799786966054,-2.4085153762503966,-1.2231161677395062,1.073380804379951,-3.0281393289855614,-2.493635053770971,-1.9519406381621573,-2.041592248939091,-0.9209545444655506,-0.5637658809205541,0.8840422108474165,0.5320019224606449,-1.3571128161175587,-1.3672746731450744,0.6974861544676476,0.2492183880189237,-1.2008875279118214,1.1158667561108992,0.23339764856968742,2.0312954435925197,-0.30192140580787574,-0.8256435123088777,-1.222619055635713,-1.0120221914975942,1.3936495383183247,1.7226940947249614,0.7052047175730156,-0.5977608704641648,1.2216865745046557,-0.48522284465899185,0.07420975125139662,-0.3458028095149242,0.34541325013871654,0.2831009904735233,0.945383753224225,-1.1932500678125557,0.5078289716370696
INTC,2016-10-18,-2.4121972780886787,0.19966280209046466,1.3278063462331726,-3.297389443810491,-0.4201760387204489,2.2680951904733213,-0.15224509027964173,0.18293086134288486,0.09046158604951135,0.008780926644652551,-0.3739678203862243,1.6537846278817647,0.7849819683302546,2.5959810907043015,-1.0295190750331749,-0.5272471680757602,-0.032676452580378934,-1.0507375588301295,0.4670704922105732,0.8707958307334981,-0.9005498486121666,1.0608437616225825,-0.16373128399466325,-0.31082130335005737,-1.5489797232301703,-0.7821055773391965,-0.0034168461230380223,-0.6946040418197339,-0.5575798349260168,0.8079275323758089,0.2635510447739822,0.5958974961985282,-0.12347173060956403,-1.1602658788518094,0.03364261067541297,0.5702900166363204,-2.120126099514702,0.8263240828343463,-0.16187281210994814
MU,2020-03-25,-4.335741523288889,-9.002729798833307,-19.08618148404357,6.94458252742164,0.4732743598789773,-2.603593154720123,4.115820273135621,2.023807569473776,-2.3498456941473242,-7.329425724962748,4.222641765578909,1.778972502712278,0.8430640666804043,-2.909110466465107,-3.398055251628982,0.4185533935804558,2.449757115591391,-3.348755161046932,-0.05839465299259286,1.046217117522806,-2.0787315448793446,1.6359644176465091,-0.2754648117495946,-0.9492686840352481,0.7062011224855159,-0.48720676185754946,-0.3247152685337888,0.4571583601705045,-1.3794891677193262,-0.09103663044463008,0.10201502072221696,-1.1560547902780032,0.4608945325660437,0.03349320652841681,-1.00293765482589,-0.6045683504808091,-1.5116010920121252,0.2417075912772643,0.26369095705196216
GOOGL,2016-02-01,-2.085882749587006,2.2412094384534815,-4.001459100614248,-2.0585286005559604,0.8615961645858204,-2.077971816541735,1.3632184948131245,-0.4779402841314505,-3.863258756032573,0.6846682572736787,-2.7739436339580243,-0.2218416389123512,0.1340716170141271,-0.1703379571780126,1.7716830277647757,0.21473257256172618,-2.083141421221891,-0.5141688852308801,-1.9449470318698392,-0.9705147930472792,-0.5796520441061834,0.7194741720834144,0.28188906872820807,-0.8058717052629929,-1.130567758000093,1.8876486536310297,-1.7140090845965235,0.353990530634983,1.9071586895601098,0.25114244292339566,-0.1300116792007506,0.018063750222113976,0.040666979831555095,-1.3953640734762538,-0.32633488793886994,0.5878967245699053,-0.7428660129897068,-0.16701040294145247,-0.006652234202716114
ASML,2019-07-17,15.611166654105284,-1.1071249474783877,-4.421523244369033,-4.951214285107764,-4.664474531414354,5.044622416130861,-1.0853154279593424,1.3665245093374743,3.4988031636096086,2.7838950423688913,6.1165628732203325,-0.9485413598083107,-0.12971063902116806,0.6415426217627056,-0.22572725333417915,0.7238325863431264,1.2083992736866391,2.5525426256386234,-0.2861018133374204,1.2979196707011575,-0.3154907234537085,2.6824738701945945,0.6839469344788852,-0.7974812069773242,0.16427525679334604,-0.444593000394432,-0.5911804414735073,2.0522057559453755,3.2277679802716683,0.4493453073991878,1.1821746642364914,1.219525690451522,-0.4918578620310718,0.25424663806016545,0.6338920009416255,-1.679625464277017,-0.9937047923905532,1.0033317905118548,-0.292680943105755
AAPL,2017-08-01,-2.2817260447280545,-0.16829085375289468,2.4804984022234233,-2.4242199476076505,-2.190394413820221,-0.5025499981484586,-1.814806786484669,-2.0692765852273807,-1.58237262179495,-3.095509073986062,-0.23198122702728255,-1.057550669385834,0.37998766690022334,0.07469282049952897,1.1100718377600087,1.7940417103469195,-0.7606756743864218,0.25377862667392775,-0.49847744135901645,0.207738908850243,-1.4931767827526703,1.2234105364416914,-1.6233345557552312,-1.0315934000061686,-0.5330708035477224,2.0496363969526024,-1.1113256729848813,-0.3008836596430044,0.7312827820125752,-0.6919717977225818,-0.9491916118006001,-0.42602444142968826,0.29372026878119223,0.2205405189867904,-0.20100909870445202,1.5902940753252774,-0.7014817738083181,-0.1339987784926592,1.0810621045641673
MU,2017-03-23,-2.0062405001138948,2.977062190305612,0.3483645378083005,-0.848659091503077,-0.48963216283568795,3.843050391668239,0.2657145373445564,1.793931803257656,-0.7679541166078648,0.42299254589436286,-1.1451877609290877,1.5969826992196636,-2.018104774035729,-0.016111178349749677,-0.17911875160467938,-0.6271293409370206,1.5803910269105221,0.15120311189021376,0.8710626637675607,-0.9161268418839674,-1.2196327095561814,0.6695683734944153,-0.9668276693740016,0.21536421277599235,0.5261366575933117,-1.1431052957100003,0.20623967048951944,-1.4818070967225994,-0.037772254620090144,-0.15939745323749774,-1.3642910843599219,-0.3293690906933931,-0.539174921722026,0.39392361039614654,-0.5206103438022666,0.16091802478479866,-0.7859642653988238,0.36069669293378653,-0.3454012633372438
