company,date,principal_component_1,principal_component_2,principal_component_3,principal_component_4,principal_component_5,principal_component_6,principal_component_7,principal_component_8,principal_component_9,principal_component_10,principal_component_11,principal_component_12,principal_component_13,principal_component_14,principal_component_15,principal_component_16,principal_component_17,principal_component_18,principal_component_19,principal_component_20,principal_component_21,principal_component_22,principal_component_23,principal_component_24,principal_component_25,principal_component_26,principal_component_27,principal_component_28,principal_component_29,principal_component_30,principal_component_31,principal_component_32,principal_component_33,principal_component_34,principal_component_35,principal_component_36,principal_component_37
AMD,2016-07-21,-5.040382649403679,2.1103791690366345,3.0036079061149943,-0.6318465453471056,-4.644617118851602,0.4874654892876024,-1.4328282800356509,-0.15514970536448303,0.2241761873582143,-0.14288936203741817,1.2987006929926859,-0.2835545145518928,-1.800735048602075,-0.12516407780033653,-0.6001278465574166,0.11848114684531455,1.7629178128554055,-0.7416424100762898,-0.7357157315639227,-0.30955637551710047,0.12407585707059453,-0.5073657578002491,1.2914300183762224,0.21921688299441602,0.1500118214999282,1.1342354218533461,0.1672110105579357,-1.1753755482692638,1.0669667433822634,1.131727614153998,-0.6982374211549961,1.6499384921962346,-1.3570417520794051,-0.14924053935965695,1.0197975779032555,-0.550708027999986,0.6372632312157218
AMD,2019-10-29,0.13877955166516703,5.14697718516148,0.42253321505876174,1.1922108331735224,1.0347719180059427,2.859841668588974,0.04035957270584052,-2.1169921428687637,-0.5770899616972884,1.0227496338134303,0.5616407497722222,-2.4102174762308546,-1.3565811838618242,1.3661765639175665,0.41485221981128795,0.3219840295610945,3.633133628193975,0.6408470165563618,-1.219598154334504,0.7613958321292876,-0.5469847023721973,-0.70421041386143,0.7174604606343461,-1.3416944660757761,2.1795072711037498,-0.7720758348840923,-0.20178540136590617,-0.4437770921777596,-1.7063430618714928,-0.22492213861044894,0.6316885157273732,0.3944774249982704,1.5226487629319134,0.9122715375515918,0.13494892941601538,0.2469758589868212,0.7596237922556847
AAPL,2019-04-30,-1.2277310748182775,-1.333464885902862,5.98324098131615,0.08947462240016245,0.13217750110132787,-1.5789102228725658,0.22385983828172829,0.30812593315693193,0.7876311382734787,2.641454843847796,-1.1465342384481776,-2.2344363393406232,3.266150618635438,0.9046835647953967,3.1322422942685777,-1.0394317867247318,0.6083163539007138,1.7305092189964915,-3.1512380945500307,-0.03434033046811878,2.936908652334229,-0.4054571097631777,-1.1403133364810871,-0.656488950189907,-2.986106192536127,0.8162554046719567,-0.13674554374955825,1.05385696163294,0.10963536210106166,0.2576264025733581,-0.6339695600714262,1.0644843370462986,-1.0836922098760053,-0.01975639047427707,-0.5793965560180511,0.6031157246697024,-1.308700284826043
AAPL,2016-10-25,-1.3941262322717636,3.9217919523957567,0.5032910822931078,-1.8769355786228357,-0.573657454113693,-4.187619260665231,1.2017421216409374,-1.8623180473115475,-2.113598596288798,2.1429713881446206,-0.6111798996733979,-0.7329659006546416,0.5397059012681464,0.4366447161836352,-1.8896519619646488,0.2034218969564268,0.7127370651096564,-0.2325222898695272,-0.46797732268290093,0.46785174514538125,0.77177652771917,2.9281947552262455,0.463017154022466,-0.3925144948389788,0.3224159238953928,2.176122817714803,0.11219294420279619,1.8855435848887676,0.09728746462983674,0.03371420626256259,-0.4933157804203019,0.6854385568759567,-0.328914573297132,1.1144762693318966,-0.30884925744238995,1.1478908190962578,-0.09047495221309214
INTC,2016-10-18,-1.9498561371179526,0.7188460749872795,-0.1774908291318037,-0.9811560799954803,-1.7429265756355206,-4.118331009215086,1.0645468074692683,0.7705224327263103,-0.3242277944811383,-1.4651176616316557,0.849295719158691,0.37732089424524184,-1.300868190976721,-0.9003654262544092,-0.6335258351456853,-0.04974172944111877,1.1852890605910043,-1.1990585777843341,-1.6290983108249306,0.48251284027720664,-0.22583699474786786,1.1128886728595944,0.23010500161648723,-0.8291851220640328,-1.3912727072665292,-0.38978868853465043,0.6286447691525814,-0.016109979114405263,-1.3270550680593851,-1.2118339812337109,-0.8878060008951835,-0.16401379278372827,-0.07843298837730549,0.2377213352755566,-0.9610082212877379,-1.1650027720854457,0.44260954783286455
GOOGL,2016-02-01,-1.0945565059089744,2.48676903386314,-4.998909254997577,0.7289988746070332,1.043507526601703,-1.0930831246503558,-4.930202535665259,-0.8330752942881073,-1.2366802230685143,1.0629344763449504,0.4632560509957965,0.1808091420202212,0.16505923778251042,0.7866211740280359,1.3863339440643596,-2.3061529335293467,0.22336568913590205,0.09052625003497487,0.2509292018174197,1.4664933797945312,-0.6822880447077452,-0.6000811683995257,2.851138934400625,0.6529897169553295,-0.3758219718573964,0.03892143724192764,-0.8245800498481419,0.6835400350777315,-1.0308247635952452,-0.8591989633867849,-0.36377709715832596,-0.07564950697149124,-0.9297753226004895,-1.3762559314144365,-0.5169044072243614,0.40540122362112213,0.3786588306349799
ASML,2019-07-17,20.043807669437808,-6.915725863219582,-4.891946893872077,-3.391896776130017,-4.746291347552635,0.2839315757514368,6.007750392897021,1.679188022082176,6.735878262001281,-1.2460534897770814,-3.2687469371859783,-1.2401715628182934,1.280763665723458,0.27563663687200085,-0.9685921879813393,0.5873281137286772,1.9597794654551444,0.032112848056669634,-0.0861296289828552,2.254000840007209,2.9537216927822647,1.7741505245827724,3.115902550655111,1.2303411832512363,1.8422086343132822,1.1189196956443046,-0.629938099697385,-1.727110098538354,-1.7096107212522167,0.1309558262525075,0.4249361715054542,-0.3567780323050204,-0.9801717872434531,-0.413114527835672,-0.9671739428831829,0.20379704094350393,-0.11746250007972435
AAPL,2017-08-01,-1.741964531457398,0.43447681557841433,1.459328553805099,-2.5816615101037734,1.0326983646206316,-3.310950752091399,0.9327620637321504,-1.8677331354871272,-2.2445867040889027,1.6608420945802975,-1.9530697225272027,-0.47477110654524785,1.0810248769973931,-0.848826219152434,1.7301529232241284,-1.094317146796334,0.444921883496451,-0.30673474276431595,0.4142185440250511,1.3957766387638124,-1.8560713141553244,0.9490167882744339,0.6394362635516142,1.8320533020633618,-0.43505071752136704,-0.28511138094913785,-1.1658670626222265,0.21482672837303116,0.6622441451478703,-1.6400660521101105,0.49966559849640824,0.3261223211842383,-0.5829696230058912,-0.5347007875569358,0.7395467247607742,0.25750793919543435,0.8246418400412433
MU,2017-03-23,-1.3024698033731852,3.3943088469574034,-0.06268768890783041,-0.8737814076979438,-3.8028976881135192,-0.9529747480894107,0.04141924207222,2.774320498572007,-0.14868259904054254,0.13799483919960062,-0.21048441875823565,1.590333920153508,-1.1968434386494697,0.9591705613885569,-0.4333276544425899,0.6945454641222317,-1.2600995467302893,-1.5885856665481646,0.26751310968497216,0.7227151691706074,0.6685574192043099,0.016016410039478627,-0.5997705019579243,-0.13301696066788093,-0.8502881508085741,-1.4363366582792716,0.22150457941643523,-0.6858168469171404,0.6719992103887731,-0.517809812741529,0.10725287709966479,0.7455439707547912,0.6802649308507526,-0.025154049564884266,-0.054302350146420236,-0.033837020490683066,0.014875692970890314
CSCO,2017-11-15,-3.589879430801722,-0.9649442786754396,1.5963447410013047,0.7647623747129888,-0.04068646248925669,-2.6659808482670777,2.194528370585871,0.6567888137644495,-0.18864086251027654,-1.2141988872807379,-0.5164503260256353,-0.34658376422669346,0.05076328559593931,-1.3437147137310148,-0.4218349170208816,-0.8874448201158979,0.9120034800459201,0.3927235614885216,0.33188278252185793,-0.22470074649766097,0.6145441830711303,-0.6240723707031706,-0.43688993807142773,0.8345180691913742,-0.5649570012021845,-1.2195346325809433,0.3484064558723594,0.74569052432567,0.7904978575727385,-0.14239791502152235,-0.10790850728748112,-0.7255271299004447,0.18564141904003012,1.1401569878688433,-0.43571982488786193,-0.5735727752877343,0.5413374409193199
