company,date,principal_component_1,principal_component_2,principal_component_3,principal_component_4,principal_component_5,principal_component_6,principal_component_7,principal_component_8,principal_component_9,principal_component_10,principal_component_11,principal_component_12,principal_component_13,principal_component_14
MU,2020-03-25,-2.0179094856204407,-16.347665129666815,9.298806383759711,2.1438022766065323,1.5703499159865868,2.5635120116392636,0.8886414995683405,-0.014968056713789857,1.8344364074062802,-0.09043395305674552,-1.190317464220871,0.2877601626355912,-0.2148997568897741,0.41715593913632004
NVDA,2020-05-21,-6.943108051683267,5.855254618746014,3.171167509384016,-1.6743546363692134,-2.1966104968110316,3.846059448888792,-2.835311953766373,-1.492665957834413,0.3647738336580563,1.1076836935665837,-1.0519105027671412,-0.8676722958487784,-1.1843477480221845,0.7819303035065713
AAPL,2020-07-30,1.2687421225811912,-1.9957395146625314,-4.796391098268942,-0.72884904928419,0.5587763095645937,0.6654511475026895,-0.011068688665633665,-2.508591772190369,-0.5312257588961734,1.0973689793265229,2.185889425594487,-0.19041003706569637,-1.4930124763886579,1.6354344736298039
AMZN,2020-04-30,0.3864478990459777,5.7810748144295125,-1.0843151844313834,-3.1657460937334734,5.049023840294222,2.2657630057805247,5.7522381244981196,2.7817664187956335,2.503672306004213,-0.9067578932448885,-3.2176394637537533,-1.0061073542930055,1.9276673170177148,0.9042524654123898
AMD,2020-07-28,-4.063419639335424,5.491327570245624,6.561287268161713,4.251877775237231,-2.052609115842888,0.8247522841474474,3.7406988578661116,-0.27120433196223553,-1.5729761793627455,-4.569894300446316,3.2262667235073854,1.6240613122150485,0.6862098439054924,-0.602647850370404
NVDA,2020-08-19,-6.95293601201494,4.641311053138048,1.5060771142518707,0.4773380445986132,-0.9355636929829662,3.873538325716813,-1.621832199917837,-1.889061966128218,0.16852224809264316,2.8666660160529527,-0.10904086049307637,0.586735184143498,1.3957943177894048,-0.44321756803675655
GOOGL,2020-04-28,0.3615010724173525,-2.2240946234417285,-2.207531074340219,-3.1262516009810897,-5.8793014967942625,-2.736955510482936,-0.6538616133819439,-3.018872374101305,-0.034617407388998406,-2.795275247785001,-3.8375303216738175,0.5656798321779827,0.9527665244623474,0.9051959881195994
INTC,2020-01-23,-4.44606145791182,2.867809963431104,0.06951897770402635,5.815286475120296,1.1737887937874867,-5.021569991080428,0.04839551553593443,3.285442256161351,-1.4095948556352902,1.0028802767026297,-1.7227384397649395,1.5048107694975539,-1.7748507227334187,2.826148473433745
ASML,2020-04-15,11.337465454596037,1.7005517874267688,8.280711694776066,-3.845755724996065,3.0895037628360287,-4.594828514479103,0.8571517218133758,-3.3209100512006446,-3.893595035156921,1.9241521289826415,0.08253946283850012,-1.4168614310594638,0.835139964327451,-0.003015795615404133
GOOGL,2020-02-03,-1.8189614135375187,-0.6173038812986857,-4.520242127122152,6.0348971726352,-0.07828821462699288,-2.281796298691461,1.5422080352326104,-1.4148588216716045,0.4601023036315146,-0.6282331540927908,-1.0620921656354958,-3.464615111875004,-0.02235215488286873,-1.1975012658826902
